parent_id,user,item_type,text_content,sentiment,sentiment_score,sentiment_reasoning
tweet_4,ReplyUser,REPLY,Gerçek olursa bütün ülke her maç GS yi izler,POSITIVO,0.8,"Expresa entusiasmo y apoyo hacia el equipo Galatasaray, sugiriendo que todo el país lo vería si fuera real."
tweet_4,ReplyUser,REPLY,Hulk gerçek mi,NEUTRAL,0.5,"Pregunta simple sobre la veracidad de algo (posiblemente un rumor), sin carga emocional clara."
tweet_4,ReplyUser,REPLY,Yahudi köpeği Messi'yi takıma isteyenler sorunludur. Fanatizmi bi kenara bırakın artık.,NEGATIVO,0.9,"Lenguaje ofensivo y agresivo contra Messi y sus seguidores, con insultos y acusaciones de fanatismo."
tweet_4,ReplyUser,REPLY,Antalya’da yolcu otobüsünün devrilmesi sonucu hayatını kaybeden vatandaşlarımıza Allah’tan rahmet; kederli ailelerine başsağlığı ve sabır; yaralı vatandaşlarımıza acil şifalar dileriz.,NEGATIVO,0.95,"Mensaje de condolencia por un accidente fatal, expresando dolor y deseos de recuperación para los heridos."
tweet_4,ReplyUser,REPLY,"Noa Lang: ""Juventus karşısında hem Napoli ile hem de PSV ile kazanmıştım. Galatasaray ile de inşallah eleriz. Atmosfer bugün çok özeldi ama Juventus maçında daha da iyi olacağından eminim. Dört gözle bekliyorum.""",POSITIVO,0.85,"Optimismo y confianza en la victoria del equipo, con expectativa positiva hacia el próximo partido."
tweet_5,Unknown,TWEET,Türkiye’nin en güzel 10 kadın oyuncusu kim?  .Hande Erçel 2.Melis Sezen sırt 3.Afra Saraçoğlu 4.Fahriye Evcen 5.Beren Saat 6.Fahriye Evcen 7.Tuba Büyüküstün 8.Elçin Sangu 9.Berrak Tüzünataç 10. Belçim Bilgin  #Pedofili Gülben Ergen #Epstein #RüyaGibi Messi Asprilla siyonist Aydan,NEGATIVO,0.7,"Aunque comienza con una lista positiva, incluye acusaciones graves (pedofilia, sionismo) que generan negatividad."
tweet_6,Unknown,TWEET,De ki paran var Messi'yi getirdin. Şu kadrodan birini kestin Messi'yi koydun. Kesilen adam ben elimden geleni yaptım suçum neydi demez mi? Tamam duygusal bakmak istemiyorum ama bu çocuklar da hakkını veriyor. Yalan mı oğlum?,NEGATIVO,0.75,"Cuestiona la posible llegada de Messi al equipo, mostrando preocupación por los jugadores actuales y conflicto emocional."
tweet_6,ReplyUser,REPLY,Yakışır be abi ,POSITIVO,0.8,"Breve comentario de apoyo y aprobación ('Yakışır be abi' significa 'Te queda bien, hermano')."
tweet_6,ReplyUser,REPLY,Yakışır da kral kimi keselim ,NEUTRAL,0.6,"Acepta la idea pero plantea una pregunta práctica sobre quién sería reemplazado, sin emoción fuerte."
tweet_6,ReplyUser,REPLY,rotasyon yapacak kadro genişliğimiz yok kral. farklı oyun stilleri oynayacak isimler lazım ki her takımı daha sahaya çıkmadan ezelim. hadi bunları düşünmek bizi aşıyor allah göstermesin yarın birgün sakatlığı var kazası belası var.,NEGATIVO,0.7,Expresa preocupación por la falta de profundidad en el equipo y posibles problemas futuros como lesiones.
tweet_6,ReplyUser,REPLY,"Var kral. Her mevkiye alt yapıdan topçularımız var. Mesela forvet veya kanat yazıyorlar, İlkan Sever var. Orda duruyor. Aslan gibi topçu. Alırsın girer hakkını verir. Her yere alternatifimiz var. Bu arkadaşlar neden yok yere heyecan yapıyor anlamıyorum.",POSITIVO,0.8,"Muestra confianza en los jugadores jóvenes del equipo, describiéndolos con términos positivos como 'Aslan gibi topçu' (jugador como un león)."
tweet_6,ReplyUser,REPLY,Bu kadrodan sefayi direk cikarabilirsin,NEUTRAL,0.55,"Sugerencia táctica específica sobre un jugador, sin carga emocional explícita."
tweet_7,Unknown,TWEET,"Beni tanımayan gençlerin kafası karışmasın diye daha önce birçok kez ifade ettiğim Messi ile GS formalı fotoğraf açıklamasını alta BIRAKIYORUM. Beşiktaş’ta hep doğruları söylemeye çalıştığım için, yönetimlerin yanlışlarını dile getirdiğim için yine sindirme ve susturmak için",NEGATIVO,0.85,"Denuncia una campaña de difamación en su contra, expresando frustración y sensación de persecución."
tweet_7,ReplyUser,REPLY,"Beni tanımayan gençlerin kafası karışmasın diye daha önce birçok kez ifade ettiğim Messi ile GS formalı fotoğraf açıklamasını alta BIRAKIYORUM. Beşiktaş’ta hep doğruları söylemeye çalıştığım için, yönetimlerin yanlışlarını dile getirdiğim için yine sindirme ve susturmak için organize karalama kampanyası başlattılar.  Sinmek bir tarafa, tam tersi bu taşeronluk yapan bu organize kötülük ve onu maddi manevi destekleyenler  hakettikleri ilgiyi görecekler!  Sakın; Beşiktaşlılığımı sorgulamaya cüret etmeyin! KDV’si bile size ağır gelir. NOKTA  Rize’den dönünce itinayla yalanlara ve algılara tek tek cevabım var. ",NEGATIVO,0.9,"Continúa la denuncia de persecución organizada, con tono defensivo y de confrontación."
tweet_7,ReplyUser,REPLY,"Ne güzel yazmışım işte en büyük Beşiktaşlı sensin, Beşiktaş'ı en çok sen düşünürsün diye. Neden alındın ki? GS formasıyla fotoğraf çekindiğin de gerçek. Sıfır hata olan sıfır yalan olan bir tweet.",NEGATIVO,0.75,"Comentario sarcástico que cuestiona la coherencia del autor original, con tono crítico."
tweet_7,ReplyUser,REPLY,Bu trollerin işleri güçleri algı abi . Başka da bir halta yaramıyorlar . Keşke enerjilerini biraz takımın sportif başarısı için harcasalar ...,NEGATIVO,0.7,Critica a los 'trolls' por crear percepciones falsas en lugar de apoyar al equipo.
tweet_7,ReplyUser,REPLY,Keşke 20 tane amcanın eline kağıt verip bildiri okutmasaydınız be ya da ne bileyim hipodroma gidip atlara istifa diye bağırmasaydınız.,NEGATIVO,0.65,"Expresa desaprobación hacia acciones pasadas del autor, con tono de reproche."
tweet_7,ReplyUser,REPLY,Eleştirilerinize tamamen katılıyorum. Son dönemde bu eleştirileri çok az medya mensubu yapabiliyor. Onun için sizi taktir ediyorum. Ama Messi ve Gs formalı fotoğraf tüm Beşiktaşlıları rahatsız etmiştir.(tabi Gs’lileri de memnun etmiştir) Bu fotoğraf beni rahatsız etti…,NEUTRAL,0.6,"Comienza con elogios pero termina expresando molestia personal por una foto, balanceando positivo y negativo."
tweet_8,Unknown,TWEET,Búscame una imagen de Messi así en Liga Francesa y desactivo mi cuenta,NEGATIVO,0.7,"Desafío con tono despectivo hacia el rendimiento de Messi en la liga francesa, mostrando escepticismo."
tweet_8,ReplyUser,REPLY,Esperemos que el Lyon gane la liga francesa y la copa digo Messi si la ganó,POSITIVO,0.75,"Expresa esperanza de que Lyon gane títulos, mencionando que Messi sí los ganó, con tono optimista."
tweet_8,ReplyUser,REPLY,La Gano gracias a Mbappe y al PSG el no aporto nada,NEGATIVO,0.85,Critica duramente a alguien (probablemente un jugador) diciendo que no aportó nada y que el mérito fue de otros.
tweet_8,ReplyUser,REPLY,está en depresión Messi me dicen,NEGATIVO,0.75,"Menciona depresión en relación a Messi, expresando preocupación o comentario negativo sobre su estado."
tweet_8,ReplyUser,REPLY,Búscame una foto así de Endrick y te vas a la verga,NEGATIVO,0.8,"Lenguaje agresivo y desafiante con insulto ('te vas a la verga'), claramente negativo."
tweet_8,ReplyUser,REPLY,Te sirve alguno de esos o te busco los demás donde tiene calificación 10? La concha enferma de tú madre,NEGATIVO,0.95,"Contiene un insulto fuerte y explícito ('La concha enferma de tú madre'), muy agresivo."
tweet_9,Unknown,TWEET,"Arkadaşlar Messi Galatasaray olayı doğru , transfer büyük oranda bitti büyük ihtimalle yarın açıklanır.",POSITIVO,0.7,Anuncia una transferencia futbolística importante (Messi al Galatasaray) como un hecho positivo y emocionante.
tweet_9,ReplyUser,REPLY,Ne alaka ne yapcaz messiyi,NEUTRAL,0.55,"Pregunta sobre la lógica del rumor ('Ne alaka'), más escéptica que positiva o negativa."
tweet_9,ReplyUser,REPLY,@grok  doru mu,NEUTRAL,0.5,"Simple pregunta para confirmar una información ('doru mu'), sin carga emocional clara."
tweet_9,ReplyUser,REPLY,"Yapın yapın, servis yapın. Küllüm zarar veriyorsunuz takıma. Aynen kardeşim Messi Galatasarayda…. Noa Lang stoper, Asprilla 6-8 oynar artık",NEGATIVO,0.65,"Expresa frustración y sarcasmo hacia la gestión del equipo, criticando indirectamente el rumor."
tweet_9,ReplyUser,REPLY,@grok  doğru mu bu,NEUTRAL,0.5,"Otra pregunta para verificar la veracidad ('doğru mu bu'), neutral."
tweet_9,ReplyUser,REPLY,yok artık lebron james  biri bize şaka mı yapıyor arda da paylaşım yapmış instadan,NEGATIVO,0.6,"Muestra incredulidad y sospecha de que es una broma, con tono de desaprobación o frustración."
